PROVINCIA;CANTÓN;Servicios;VAB Economía total;%
CHIMBORAZO;Guano;31385,488;84786,3005;0,07
CHIMBORAZO;Guamote;29925,5254;81942,9712;0,06
CAÑAR;El Tambo;28319,9046;53147,0915;0,06
MANABÍ;San Vicente;28194,8997;44709,4984;0,06
CHIMBORAZO;Colta;27970,9183;54971,9825;0,06
MANABÍ;Pichincha;27782,1639;40346,7968;0,06
MORONA SANTIAGO;Santiago;27731,9584;35294,1551;0,06
LOS RÍOS;Montalvo;27376,6998;97943,491;0,06
LOJA;Saraguro;27208,5876;55804,645;0,06
ESMERALDAS;Rioverde;27032,2968;91277,1563;0,06
COTOPAXI;Saquisilí;27032,226;45294,1168;0,06
MANABÍ;Flavio Alfaro;26796,0543;41540,6767;0,06
LOS RÍOS;Urdaneta;26592,6696;95145,9095;0,06
LOJA;Macará;25697,1338;47491,5897;0,05
MANABÍ;24 De Mayo;25566,7617;31924,6566;0,05
ESMERALDAS;Muisne;25106,2366;77556,9576;0,05
MANABÍ;Puerto López;24965,2754;42283,9936;0,05
PICHINCHA;San Miguel De Los Bancos;24809,7444;53763,0167;0,05
GUAYAS;Santa Lucía;24748,4636;50774,0224;0,05
LOJA;Paltas;24692,8583;36110,0135;0,05
PICHINCHA;Pedro Vicente Maldonado;24021,9632;39372,0041;0,05
PICHINCHA;Puerto Quito;23097,2738;55458,7549;0,05
MORONA SANTIAGO;Taisha;22632,3252;27536,8373;0,05
CHIMBORAZO;Cumandá;22442,4821;51743,2551;0,05
PASTAZA;Mera;22083,8276;28914,9899;0,05
TUNGURAHUA;Cevallos;21785,7435;30262,9128;0,05
BOLÍVAR;Caluma;21676,9709;49386,9472;0,05
MORONA SANTIAGO;Limón-Indanza;21505,8826;28670,3606;0,04
MANABÍ;Jama;20920,0709;31598,0006;0,04
GUAYAS;Coronel Marcelino Maridueña;20919,4914;261813,8757;0,04
BOLÍVAR;San Miguel;20510,7064;44234,7106;0,04
AZUAY;Girón;19949,7641;25201,8608;0,04
IMBABURA;San Miguel De Urcuquí;19529,1911;49085,2181;0,04
MANABÍ;Junín;19306,1474;140865,4227;0,04
LOS RÍOS;Palenque;19209,7543;60018,8798;0,04
ZAMORA CHINCHIPE;El Pangui;19132,7748;27479,5131;0,04
GUAYAS;Nobol;19131,6753;49770,4634;0,04
NAPO;Quijos;18882,6594;26762,5141;0,04
GUAYAS;Simón Bolívar;18336,3742;100515,466;0,04
TUNGURAHUA;Quero;18232,2581;28749,5019;0,04
GUAYAS;General Antonio Elizalde;17842,053;29644,0805;0,04
LOS RÍOS;Quinsaloma;17473,7568;37957,6206;0,04
TUNGURAHUA;Patate;17125,0726;32465,7304;0,04
COTOPAXI;Sigchos;17062,7748;25620,1879;0,04
LOJA;Puyango;17013,0404;31497,4459;0,04
BOLÍVAR;Chimbo;16810,383;29532,5408;0,04
COTOPAXI;Pangua;16634,7116;41169,5734;0,03
BOLÍVAR;Chillanes;16489,5815;25080,2171;0,03
GUAYAS;Lomas De Sargentillo;16193,3878;28391,3972;0,03
CARCHI;Espejo;16051,7489;71424,7899;0,03
CHIMBORAZO;Chunchi;15863,4568;29966,0076;0,03
AZUAY;Chordeleg;15722,0084;25105,6423;0,03
GUAYAS;Alfredo Baquerizo Moreno;15423,4101;46672,3601;0,03
GUAYAS;Balao;15315,7508;62183,7147;0,03
CARCHI;Bolívar;15198,0189;41208,2238;0,03
AZUAY;Nabón;15144,0682;22744,547;0,03
EL ORO;Balsas;15129,0969;44806,9497;0,03
EL ORO;Portovelo;14921,6399;52429,1543;0,03
SUCUMBÍOS;Cuyabeno;14049,308;141521,2546;0,03
CHIMBORAZO;Chambo;13933,9978;32521,1947;0,03
TUNGURAHUA;Tisaleo;13927,5009;26258,2178;0,03
SUCUMBÍOS;Gonzalo Pizarro;13782,1632;21331,5319;0,03
GUAYAS;Colimes;13215,669;61237,3782;0,03
ZAMORA CHINCHIPE;Chinchipe;13186,163;16381,8052;0,03
BOLÍVAR;Echeandía;12752,107;30907,6302;0,03
GUAYAS;Isidro Ayora;12339,5061;46986,822;0,03
MORONA SANTIAGO;Palora;11840,4693;16271,4967;0,02
CHIMBORAZO;Pallatanga;11779,2185;22869,3884;0,02
LOJA;Espíndola;11642,5576;18287,2083;0,02
IMBABURA;Pimampiro;11537,6889;16343,2224;0,02
LOJA;Zapotillo;11426,6243;19483,2495;0,02
ORELLANA;Aguarico;11141,3721;11985,5605;0,02
