dimension1	dimension1 (2)	dimension2	medida
Agricultura, ganadería, silvicultura y pesca	A0322 Acuicultura de agua dulce.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0321 Acuicultura marina.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0312 Pesca de agua dulce.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0240 Servicios de apoyo a la silvicultura.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0220 Extracción de madera.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0170 Caza ordinaria, mediante trampas y actividades de servicios conexas.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0164 Tratamiento de semillas para propagación.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0162 Actividades de apoyo a la ganadería.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0150 Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0149 Cría de otros animales.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0146 Cría de aves de corral.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0145 Cría de cerdos.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0144 Cría de ovejas y cabras.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0142 Cría de caballos y otros equinos.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0141 Cría de ganado bovino y búfalos.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0130 Propagación de plantas.	01 Azuay	5518,877
Agricultura, ganadería, silvicultura y pesca	A0129 Cultivo de otras plantas perennes.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0128 Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0127 Cultivo de plantas con las que se preparan bebidas.	01 Azuay	215,55
Agricultura, ganadería, silvicultura y pesca	A0126 Cultivo de frutos oleaginosos.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0125 Cultivo de otros frutos y nueces de árboles y arbustos.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0124 Cultivo de frutas con hueso y con pepa.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0123 Cultivo de cítricos.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0122 Cultivo de frutas tropicales y subtropicales.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0119 Cultivo de otras plantas no perennes.	01 Azuay	2772,273
Agricultura, ganadería, silvicultura y pesca	A0114 Cultivo de caña de azúcar.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0113 Cultivo de hortalizas y melones, raíces y tubérculos.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0112 Cultivo de arroz.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0111 Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0322 Acuicultura de agua dulce.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0312 Pesca de agua dulce.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0220 Extracción de madera.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0164 Tratamiento de semillas para propagación.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0150 Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).	02 Bolívar	0
Agricultura, ganadería, silvicultura y pesca	A0149 Cría de otros animales.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0146 Cría de aves de corral.	02 Bolívar	0
Agricultura, ganadería, silvicultura y pesca	A0145 Cría de cerdos.	02 Bolívar	0
Agricultura, ganadería, silvicultura y pesca	A0144 Cría de ovejas y cabras.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0141 Cría de ganado bovino y búfalos.	02 Bolívar	0
Agricultura, ganadería, silvicultura y pesca	A0130 Propagación de plantas.	02 Bolívar	0
Agricultura, ganadería, silvicultura y pesca	A0127 Cultivo de plantas con las que se preparan bebidas.	02 Bolívar	1183,076
Agricultura, ganadería, silvicultura y pesca	A0126 Cultivo de frutos oleaginosos.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0125 Cultivo de otros frutos y nueces de árboles y arbustos.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0123 Cultivo de cítricos.	02 Bolívar	0
Agricultura, ganadería, silvicultura y pesca	A0122 Cultivo de frutas tropicales y subtropicales.	02 Bolívar	0
Agricultura, ganadería, silvicultura y pesca	A0121 Cultivo de uvas.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0119 Cultivo de otras plantas no perennes.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0114 Cultivo de caña de azúcar.	02 Bolívar	0
Agricultura, ganadería, silvicultura y pesca	A0113 Cultivo de hortalizas y melones, raíces y tubérculos.	02 Bolívar	nan
Agricultura, ganadería, silvicultura y pesca	A0112 Cultivo de arroz.	02 Bolívar	0
Agricultura, ganadería, silvicultura y pesca	A0111 Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.	02 Bolívar	0
Agricultura, ganadería, silvicultura y pesca	A0321 Acuicultura marina.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0164 Tratamiento de semillas para propagación.	03 Cañar	nan
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0162 Actividades de apoyo a la ganadería.	03 Cañar	nan
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0150 Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0149 Cría de otros animales.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0146 Cría de aves de corral.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0145 Cría de cerdos.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0144 Cría de ovejas y cabras.	03 Cañar	nan
Agricultura, ganadería, silvicultura y pesca	A0141 Cría de ganado bovino y búfalos.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0130 Propagación de plantas.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0129 Cultivo de otras plantas perennes.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0128 Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0127 Cultivo de plantas con las que se preparan bebidas.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0126 Cultivo de frutos oleaginosos.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0125 Cultivo de otros frutos y nueces de árboles y arbustos.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0122 Cultivo de frutas tropicales y subtropicales.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0121 Cultivo de uvas.	03 Cañar	nan
Agricultura, ganadería, silvicultura y pesca	A0119 Cultivo de otras plantas no perennes.	03 Cañar	314,871
Agricultura, ganadería, silvicultura y pesca	A0114 Cultivo de caña de azúcar.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0113 Cultivo de hortalizas y melones, raíces y tubérculos.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0112 Cultivo de arroz.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0111 Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.	03 Cañar	0
Agricultura, ganadería, silvicultura y pesca	A0322 Acuicultura de agua dulce.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0312 Pesca de agua dulce.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0220 Extracción de madera.	04 Carchi	nan
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	04 Carchi	nan
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0150 Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0149 Cría de otros animales.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0146 Cría de aves de corral.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0145 Cría de cerdos.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0144 Cría de ovejas y cabras.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0141 Cría de ganado bovino y búfalos.	04 Carchi	72,34
Agricultura, ganadería, silvicultura y pesca	A0130 Propagación de plantas.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0129 Cultivo de otras plantas perennes.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0128 Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas.	04 Carchi	nan
Agricultura, ganadería, silvicultura y pesca	A0127 Cultivo de plantas con las que se preparan bebidas.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0125 Cultivo de otros frutos y nueces de árboles y arbustos.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0124 Cultivo de frutas con hueso y con pepa.	04 Carchi	nan
Agricultura, ganadería, silvicultura y pesca	A0123 Cultivo de cítricos.	04 Carchi	nan
Agricultura, ganadería, silvicultura y pesca	A0122 Cultivo de frutas tropicales y subtropicales.	04 Carchi	178,724
Agricultura, ganadería, silvicultura y pesca	A0121 Cultivo de uvas.	04 Carchi	nan
Agricultura, ganadería, silvicultura y pesca	A0119 Cultivo de otras plantas no perennes.	04 Carchi	3801,093
Agricultura, ganadería, silvicultura y pesca	A0116 Cultivo de plantas de fibras.	04 Carchi	nan
Agricultura, ganadería, silvicultura y pesca	A0114 Cultivo de caña de azúcar.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0113 Cultivo de hortalizas y melones, raíces y tubérculos.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0111 Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.	04 Carchi	0
Agricultura, ganadería, silvicultura y pesca	A0322 Acuicultura de agua dulce.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0312 Pesca de agua dulce.	05 Cotopaxi	nan
Agricultura, ganadería, silvicultura y pesca	A0220 Extracción de madera.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0164 Tratamiento de semillas para propagación.	05 Cotopaxi	nan
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0162 Actividades de apoyo a la ganadería.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0150 Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0149 Cría de otros animales.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0146 Cría de aves de corral.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0145 Cría de cerdos.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0144 Cría de ovejas y cabras.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0142 Cría de caballos y otros equinos.	05 Cotopaxi	nan
Agricultura, ganadería, silvicultura y pesca	A0141 Cría de ganado bovino y búfalos.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0130 Propagación de plantas.	05 Cotopaxi	4516,076
Agricultura, ganadería, silvicultura y pesca	A0129 Cultivo de otras plantas perennes.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0128 Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas.	05 Cotopaxi	nan
Agricultura, ganadería, silvicultura y pesca	A0127 Cultivo de plantas con las que se preparan bebidas.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0126 Cultivo de frutos oleaginosos.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0125 Cultivo de otros frutos y nueces de árboles y arbustos.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0123 Cultivo de cítricos.	05 Cotopaxi	nan
Agricultura, ganadería, silvicultura y pesca	A0122 Cultivo de frutas tropicales y subtropicales.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0119 Cultivo de otras plantas no perennes.	05 Cotopaxi	134116,823
Agricultura, ganadería, silvicultura y pesca	A0116 Cultivo de plantas de fibras.	05 Cotopaxi	nan
Agricultura, ganadería, silvicultura y pesca	A0114 Cultivo de caña de azúcar.	05 Cotopaxi	624,925
Agricultura, ganadería, silvicultura y pesca	A0113 Cultivo de hortalizas y melones, raíces y tubérculos.	05 Cotopaxi	36,286
Agricultura, ganadería, silvicultura y pesca	A0112 Cultivo de arroz.	05 Cotopaxi	nan
Agricultura, ganadería, silvicultura y pesca	A0111 Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.	05 Cotopaxi	0
Agricultura, ganadería, silvicultura y pesca	A0322 Acuicultura de agua dulce.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0220 Extracción de madera.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0162 Actividades de apoyo a la ganadería.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0150 Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0149 Cría de otros animales.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0146 Cría de aves de corral.	06 Chimborazo	219,987
Agricultura, ganadería, silvicultura y pesca	A0145 Cría de cerdos.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0144 Cría de ovejas y cabras.	06 Chimborazo	nan
Agricultura, ganadería, silvicultura y pesca	A0141 Cría de ganado bovino y búfalos.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0130 Propagación de plantas.	06 Chimborazo	219,715
Agricultura, ganadería, silvicultura y pesca	A0129 Cultivo de otras plantas perennes.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0128 Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0127 Cultivo de plantas con las que se preparan bebidas.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0126 Cultivo de frutos oleaginosos.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0125 Cultivo de otros frutos y nueces de árboles y arbustos.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0124 Cultivo de frutas con hueso y con pepa.	06 Chimborazo	nan
Agricultura, ganadería, silvicultura y pesca	A0122 Cultivo de frutas tropicales y subtropicales.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0121 Cultivo de uvas.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0119 Cultivo de otras plantas no perennes.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0116 Cultivo de plantas de fibras.	06 Chimborazo	nan
Agricultura, ganadería, silvicultura y pesca	A0114 Cultivo de caña de azúcar.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0113 Cultivo de hortalizas y melones, raíces y tubérculos.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0112 Cultivo de arroz.	06 Chimborazo	nan
Agricultura, ganadería, silvicultura y pesca	A0111 Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.	06 Chimborazo	0
Agricultura, ganadería, silvicultura y pesca	A0322 Acuicultura de agua dulce.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0321 Acuicultura marina.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0312 Pesca de agua dulce.	07 El Oro	nan
Agricultura, ganadería, silvicultura y pesca	A0311 Pesca marina.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0240 Servicios de apoyo a la silvicultura.	07 El Oro	nan
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0164 Tratamiento de semillas para propagación.	07 El Oro	nan
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	07 El Oro	2118,262
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0150 Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0149 Cría de otros animales.	07 El Oro	nan
Agricultura, ganadería, silvicultura y pesca	A0146 Cría de aves de corral.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0145 Cría de cerdos.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0141 Cría de ganado bovino y búfalos.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0130 Propagación de plantas.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0129 Cultivo de otras plantas perennes.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0128 Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas.	07 El Oro	nan
Agricultura, ganadería, silvicultura y pesca	A0127 Cultivo de plantas con las que se preparan bebidas.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0126 Cultivo de frutos oleaginosos.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0125 Cultivo de otros frutos y nueces de árboles y arbustos.	07 El Oro	nan
Agricultura, ganadería, silvicultura y pesca	A0123 Cultivo de cítricos.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0122 Cultivo de frutas tropicales y subtropicales.	07 El Oro	78902,5
Agricultura, ganadería, silvicultura y pesca	A0121 Cultivo de uvas.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0114 Cultivo de caña de azúcar.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0113 Cultivo de hortalizas y melones, raíces y tubérculos.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0112 Cultivo de arroz.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0111 Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.	07 El Oro	0
Agricultura, ganadería, silvicultura y pesca	A0322 Acuicultura de agua dulce.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0321 Acuicultura marina.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0312 Pesca de agua dulce.	08 Esmeraldas	nan
Agricultura, ganadería, silvicultura y pesca	A0311 Pesca marina.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0240 Servicios de apoyo a la silvicultura.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0220 Extracción de madera.	08 Esmeraldas	nan
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0164 Tratamiento de semillas para propagación.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	08 Esmeraldas	10
Agricultura, ganadería, silvicultura y pesca	A0162 Actividades de apoyo a la ganadería.	08 Esmeraldas	nan
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0150 Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0149 Cría de otros animales.	08 Esmeraldas	nan
Agricultura, ganadería, silvicultura y pesca	A0146 Cría de aves de corral.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0145 Cría de cerdos.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0141 Cría de ganado bovino y búfalos.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0130 Propagación de plantas.	08 Esmeraldas	nan
Agricultura, ganadería, silvicultura y pesca	A0129 Cultivo de otras plantas perennes.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0128 Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0127 Cultivo de plantas con las que se preparan bebidas.	08 Esmeraldas	1322,129
Agricultura, ganadería, silvicultura y pesca	A0126 Cultivo de frutos oleaginosos.	08 Esmeraldas	4806,089
Agricultura, ganadería, silvicultura y pesca	A0125 Cultivo de otros frutos y nueces de árboles y arbustos.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0123 Cultivo de cítricos.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0122 Cultivo de frutas tropicales y subtropicales.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0119 Cultivo de otras plantas no perennes.	08 Esmeraldas	nan
Agricultura, ganadería, silvicultura y pesca	A0116 Cultivo de plantas de fibras.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0114 Cultivo de caña de azúcar.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0113 Cultivo de hortalizas y melones, raíces y tubérculos.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0112 Cultivo de arroz.	08 Esmeraldas	nan
Agricultura, ganadería, silvicultura y pesca	A0111 Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.	08 Esmeraldas	0
Agricultura, ganadería, silvicultura y pesca	A0322 Acuicultura de agua dulce.	09 Guayas	1001,282
Agricultura, ganadería, silvicultura y pesca	A0321 Acuicultura marina.	09 Guayas	847912,808
Agricultura, ganadería, silvicultura y pesca	A0312 Pesca de agua dulce.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0311 Pesca marina.	09 Guayas	114182,753
Agricultura, ganadería, silvicultura y pesca	A0240 Servicios de apoyo a la silvicultura.	09 Guayas	454,817
Agricultura, ganadería, silvicultura y pesca	A0230 Recolección de productos forestales distintos de la madera.	09 Guayas	nan
Agricultura, ganadería, silvicultura y pesca	A0220 Extracción de madera.	09 Guayas	2860,657
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	09 Guayas	22327,07
Agricultura, ganadería, silvicultura y pesca	A0164 Tratamiento de semillas para propagación.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	09 Guayas	64,239
Agricultura, ganadería, silvicultura y pesca	A0162 Actividades de apoyo a la ganadería.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	09 Guayas	10,671
Agricultura, ganadería, silvicultura y pesca	A0150 Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).	09 Guayas	8021,346
Agricultura, ganadería, silvicultura y pesca	A0149 Cría de otros animales.	09 Guayas	21,84
Agricultura, ganadería, silvicultura y pesca	A0146 Cría de aves de corral.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0145 Cría de cerdos.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0144 Cría de ovejas y cabras.	09 Guayas	nan
Agricultura, ganadería, silvicultura y pesca	A0142 Cría de caballos y otros equinos.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0141 Cría de ganado bovino y búfalos.	09 Guayas	855,723
Agricultura, ganadería, silvicultura y pesca	A0130 Propagación de plantas.	09 Guayas	289,017
Agricultura, ganadería, silvicultura y pesca	A0129 Cultivo de otras plantas perennes.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0128 Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas.	09 Guayas	2941,45
Agricultura, ganadería, silvicultura y pesca	A0127 Cultivo de plantas con las que se preparan bebidas.	09 Guayas	8144,749
Agricultura, ganadería, silvicultura y pesca	A0126 Cultivo de frutos oleaginosos.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0125 Cultivo de otros frutos y nueces de árboles y arbustos.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0123 Cultivo de cítricos.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0122 Cultivo de frutas tropicales y subtropicales.	09 Guayas	499078,468
Agricultura, ganadería, silvicultura y pesca	A0121 Cultivo de uvas.	09 Guayas	nan
Agricultura, ganadería, silvicultura y pesca	A0119 Cultivo de otras plantas no perennes.	09 Guayas	1421,113
Agricultura, ganadería, silvicultura y pesca	A0116 Cultivo de plantas de fibras.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0115 Cultivo de tabaco.	09 Guayas	42614,944
Agricultura, ganadería, silvicultura y pesca	A0114 Cultivo de caña de azúcar.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0113 Cultivo de hortalizas y melones, raíces y tubérculos.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0112 Cultivo de arroz.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0111 Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas.	09 Guayas	0
Agricultura, ganadería, silvicultura y pesca	A0322 Acuicultura de agua dulce.	10 Imbabura	0
Agricultura, ganadería, silvicultura y pesca	A0321 Acuicultura marina.	10 Imbabura	0
Agricultura, ganadería, silvicultura y pesca	A0312 Pesca de agua dulce.	10 Imbabura	nan
Agricultura, ganadería, silvicultura y pesca	A0240 Servicios de apoyo a la silvicultura.	10 Imbabura	0
Agricultura, ganadería, silvicultura y pesca	A0220 Extracción de madera.	10 Imbabura	0
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	10 Imbabura	0
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	10 Imbabura	0
Agricultura, ganadería, silvicultura y pesca	A0162 Actividades de apoyo a la ganadería.	10 Imbabura	0
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	10 Imbabura	0
