año;sector;size;0101;0102;0103;0104;0105;0106;0107;0108;0109;0110;0111;0112;0113;0114;0115;0201;0202;0203;0204;0205;0206;0207;0301;0302;0303;0304;0305;0306;0307;0401;0402;0403;0404;0405;0406;0501;0502;0503;0504;0505;0506;0507;0601;0602;0603;0604;0605;0606;0607;0608;0609;0610;0701;0702;0703;0704;0705;0706;0707;0708;0709;0710;0711;0712;0713;0714;0801;0802;0803;0804;0805;0806;0807;0901;0902;0903;0904;0905;0906;0907;0908;0909;0910;0911;0912;0913;0914;0916;0918;0919;0920;0921;0922;0923;0924;0925;0927;0928;1001;1002;1003;1004;1005;1006;1101;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;1115;1116;1201;1202;1203;1204;1205;1206;1207;1208;1209;1210;1211;1212;1213;1301;1302;1303;1304;1305;1306;1307;1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1401;1402;1403;1404;1405;1406;1407;1408;1409;1410;1411;1412;1501;1503;1504;1507;1509;1601;1602;1603;1604;1701;1702;1703;1704;1705;1707;1708;1709;1801;1802;1803;1804;1805;1806;1807;1808;1809;1901;1902;1903;1904;1905;1906;1907;1908;1909;2001;2002;2003;2101;2102;2103;2104;2105;2106;2107;2201;2202;2203;2204;2301;2302;2401;2402;2403;9001;9003;9004
2019;Comercio;Pequeña empresa;436.826;3.451;14.992;679;9.084;565;784;4.247;3.241;;1.313;745;190;370;11.435;23.050;2.814;2.782;2.795;7.019;3.620;1.574;30.510;8.168;11.530;23.334;1.873;835;1.261;55.003;3.883;4.165;218;9.766;2.859;99.864;18.408;3.479;7.528;27.922;10.607;1.639;153.826;2.232;1.298;2.547;3.294;4.531;5.494;3.349;1.018;1.512;224.664;7.513;1.280;6.195;;21.900;42.782;1.975;45.767;18.015;2.359;25.455;8.524;525;66.811;5.894;4.652;36.984;9.038;9.025;3.497;1.590.172;4.409;4.791;12.888;2.943;50.217;68.140;30.896;16.504;61.429;19.350;11.905;5.798;5.871;72.818;9.900;3.155;11.563;9.635;4.812;2.082;3.291;5.534;5.223;2.961;106.536;13.528;9.960;32.578;2.173;2.440;135.135;5.049;10.405;3.689;1.167;457;1.849;9.758;6.570;4.067;5.657;218;2.614;5.389;149;139;52.584;5.920;5.860;10.373;79.262;11.528;30.207;14.732;2.494;26.900;7.575;10.151;7.090;109.928;11.164;41.120;44.620;6.704;16.081;8.083;147.031;17.814;4.196;5.466;5.827;7.255;12.175;7.967;1.986;17.836;549;1.661;4.162;4.542;4.707;25.521;8.695;3.793;4.006;3.606;7.759;1.252;987;179;1.583;171;1.081;20.151;2.076;3.545;1.360;123;31.168;3.245;132;;1.885.356;29.752;38.257;23.197;76.850;5.254;4.680;6.233;317.729;7.258;7.345;1.412;7.501;3.863;33.051;8.119;6.328;10.770;3.694;;;15.565;3.354;397;128;515;5.685;2.140;16.060;57.878;707;;13.167;;642;871;29.589;773;13.640;4.724;269.468;15.572;23.801;45.645;23.923;;;
2019;Construcción;Grande empresa;38.249;;;;9.121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.527;;;;;;;;;;10.706;;;;;24.182;;;;;;;;;18.490;;;;;;;528.988;;;;;37.333;36.697;;;5.561;;;;;110.124;;;;;;;;;;;;33.096;;;;;16.360;;;;;;;;;;;;;;;;7.461;;;;;;;;;;;;;21.164;;;;;;;40.059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.590.029;;;;;;;;33.833;;;;;;;;;;;;;;22.127;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Construcción;"Mediana empresa ""A""";30.510;;;;;;;;;;;;;;;1.271;;;;;;;1.080;;;;;;;;;;;;;3.055;;;;1.906;;;3.414;;;;;;;;;;8.120;;;;;;;;;1.333;;;;;2.338;;;1.345;1.668;;;162.945;;;;;11.557;2.872;;2.793;;;;;;17.806;;;1.065;1.657;;;;;;;2.145;;;;;;9.649;;;;;;;;;;;;;;;;;;1.128;1.695;5.141;;1.606;;;1.028;;;;6.551;;3.145;;;;;6.973;1.973;;;;;;;1.172;;;;;;;;;;;;;4.817;;;;;;2.760;1.250;;;;2.790;1.081;;;206.654;;;;7.900;;;;21.525;;;;;;1.247;;;0;;;;;2.942;;;;;;;1.247;;;;;;;3.836;;1.040;;12.053;1.689;1.025;;3.067;;;
2019;Construcción;"Mediana empresa ""B""";49.155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.806;;;;;;;;;;25.728;;;;;;;;;;;;;;2.948;;;;;;;169.299;2.193;;;;6.866;5.382;;;;;;;;32.845;;;;;;;;;;;10.209;;;;;;14.026;;;;;;;;;;;;2.386;;;;5.948;;;;4.650;;;;;;;;;25.377;2.408;3.473;3.758;;;;22.862;2.094;;;;;;;;;;;;2.736;;;;;;;;;;;;;;2.397;;;;;3.861;2.024;;;286.972;;;;7.724;;;;19.684;;;;;;;;;;;;;;9.252;;;;;;;3.326;;;;;;3.444;13.625;;2.436;;17.498;;;;2.284;;;
2019;Construcción;Microempresa;3.672;0;196;101;77;0;0;68;98;55;9;5;133;0;178;741;0;26;153;118;1;0;345;23;72;426;92;207;;323;163;42;54;10;;1.370;159;129;187;329;110;112;2.511;266;192;101;0;68;93;102;76;143;1.659;139;150;;;145;166;0;186;365;79;220;224;0;1.529;67;108;351;170;56;88;23.060;0;0;100;;423;983;101;93;245;124;5;;0;1.326;;0;68;94;0;0;0;40;0;0;916;91;464;666;56;163;2.088;140;299;5;17;342;333;97;151;0;482;88;0;0;1;0;1.220;12;100;30;413;0;261;89;0;14;10;14;0;1.860;208;249;230;;1;1;1.494;51;1;0;42;150;23;71;13;66;0;2;0;20;25;629;247;86;65;89;77;470;42;197;130;76;133;1.017;501;399;98;130;1.601;218;0;8;25.293;370;307;255;838;7;67;47;2.156;302;0;;0;86;178;185;0;475;201;109;43;483;181;125;35;80;134;41;323;1.885;193;112;683;206;23;258;1.459;57;546;607;2.296;70;714;375;293;;;
2019;Construcción;Pequeña empresa;55.370;1.593;1.069;142;1.016;;;328;;;246;;1.717;;0;2.497;;;134;534;;;5.275;;1.859;2.213;1.166;;;1.840;;457;;369;;14.548;1.523;1.124;838;760;;166;15.692;146;;;177;544;268;115;276;796;17.540;;;185;;932;553;292;3.220;2.405;311;1.828;272;449;8.004;;142;2.374;920;823;454;283.635;162;;233;;15.086;6.043;110;1.316;2.528;1.649;;172;145;24.036;1.224;101;2.483;667;416;0;;454;0;;19.582;3.073;882;3.239;551;123;21.354;471;;115;154;808;;1.336;;0;1.653;207;539;235;;;6.358;613;1.533;416;8.442;1.273;613;1.277;396;1.773;1.617;;156;26.644;196;1.127;1.359;979;749;766;15.399;956;;;113;142;1.045;392;265;512;305;130;;1.125;;1.925;816;514;;1.008;449;323;368;2.003;;539;1.349;5.392;1.675;722;494;799;10.629;894;149;;331.503;2.293;1.721;928;12.014;596;;570;40.454;1.576;;282;683;104;3.591;411;101;4.015;130;358;1.167;2.716;2.644;496;;749;0;115;118;9.707;587;227;5.017;;793;1.201;6.887;1.320;3.052;1.798;24.042;239;9.302;3.311;5.193;;;
2019;Explotación de Minas y Canteras;Grande empresa;19.428;;;;;;;;;;;;;;114.355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.675;;11.922;;27.374;;;;;;;;;45.487;;;;;;;;;;;;;;13.967;;;;;;;;;;;;;;6.927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.192.762;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Explotación de Minas y Canteras;"Mediana empresa ""A""";9.050;;;;;;;5.956;;;;;;;14.202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.396;;;;;;;;;;6.484;1.801;2.438;;;;;;;;;5.209;;;;;;;;;;;;;;1.466;;;;;;;;;;;;;;1.429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.068;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;22.327;;;;;;;;;;;;;;;;;;;;;2.434;;;;1.107;;;;;;;;;;;1.796;;;;;;;;;;;
2019;Explotación de Minas y Canteras;"Mediana empresa ""B""";;;;;;;;;;;;;;;24.672;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.026;5.260;3.133;;;;;;;;;5.428;;;;;;2.516;;;;;;;;;;;3.597;2.090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.907;;;;;;;;;;;;;;;;;3.677;;;;;;;;;;;;;;;;;;;;;3.191;;2.445;;;;;;;
2019;Explotación de Minas y Canteras;Microempresa;271;;29;0;;0;;0;;;;3;;;1.306;;;;;;;;63;;;0;0;;;0;90;;;;;72;0;;0;;;0;147;0;28;;;;0;;0;;300;;0;0;;52;;0;54;64;287;14;388;;82;0;;0;;;0;648;;;;;0;24;49;;;;;;;65;;;;114;;0;;0;;0;203;;0;55;;0;0;0;47;0;;;;47;;0;;;;;;;0;;0;;1;;;0;;;;;;46;;;28;;2;;29;;;;;;;;;;;;;;0;12;0;0;0;0;;;;;;;;21;;;;0;92;;;;2.243;;;0;160;;;;114;0;;;;;86;0;;304;101;;0;83;102;0;;0;;;;0;99;;18;;0;;102;;;;94;;57;;0;;;
